,b_loc,b_size,b_price,b_pr_m2,b_sale_rslt,b_sale_date
0,Kärleksstigen 28,"6 rum, 161 m²",2 500 000 kr,15 500 kr/m²,0,2022-07-15
1,Hagagatan 7,"4 rum, 122 m²",1 100 000 kr,9 000 kr/m²,-7.9,2022-07-14
2,Uddabergsvägen 15,"4 rum, 119 m²",4 680 000 kr,39 300 kr/m²,4.1,2022-07-13
3,Lerdala Åbod gatan,"2 rum, 73 m²",1 650 000 kr,22 600 kr/m²,-2.1,2022-07-12
4,Rönnbärsvägen 21,"7 rum, 164 m²",2 300 000 kr,14 000 kr/m²,4.8,2022-07-12
5,Getaryggsvägen 24,"8 rum, 162 m²",7 000 000 kr,43 200 kr/m²,7.8,2022-07-11
6,Orkidévägen 8,"5 rum, 98 m²",3 150 000 kr,32 100 kr/m²,14.5,2022-07-08
7,Våmb Ekhyddan,"5 rum, 169 m²",1 400 000 kr,8 300 kr/m²,-17.4,2022-07-08
8,Sjogerstad Mariedal,"4 rum, 115 m²",2 550 000 kr,22 200 kr/m²,-8.8,2022-07-08
9,Lunne Äppelbo,"4 rum, 99 m²",1 200 000 kr,12 100 kr/m²,20.6,2022-07-08
10,Mariestadsvägen 1,"8 rum, 170 m²",2 850 000 kr,16 800 kr/m²,0,2022-07-05
11,Skolvägen 9,"None, 130 m²",2 100 000 kr,16 200 kr/m²,-12.3,2022-07-04
12,Slagugglevägen 21,"5 rum, 120 m²",4 500 000 kr,37 500 kr/m²,7.1,2022-07-04
13,Klagstorpsvägen 21,"7 rum, 155 m²",3 200 000 kr,20 600 kr/m²,-3,2022-07-02
14,Västerleden 13,"6 rum, 103 m²",2 000 000 kr,19 400 kr/m²,-8,2022-07-01
15,Kungsryd Lugnås 1,"3 rum, 61 m²",420 000 kr,6 900 kr/m²,-23.6,2022-07-01
16,Jon Måns väg 12,"8 rum, 123 m²",3 400 000 kr,27 600 kr/m²,-5.4,2022-06-30
17,Stationsvägen 16A,"5 rum, 121 m²",2 400 000 kr,19 800 kr/m²,-3.8,2022-06-30
18,Källbäcksvägen 6,"3 rum, 72 m²",2 395 000 kr,33 300 kr/m²,0,2022-06-28
19,Stationsvägen 6,"7 rum, 260 m²",3 100 000 kr,11 900 kr/m²,-5.9,2022-06-24
20,Nybovägen 11,"5 rum, 110 m²",1 250 000 kr,11 400 kr/m²,14.2,2022-06-23
21,General Ericsons väg 3,"4 rum, 92 m²",3 200 000 kr,34 800 kr/m²,-11,2022-06-23
22,Källegårdsvägen 41,"5 rum, 97 m²",3 200 000 kr,33 000 kr/m²,6.8,2022-06-21
23,Svedjevägen 3,"6 rum, 125 m²",3 300 000 kr,26 400 kr/m²,-5.6,2022-06-18
24,Orkidévägen 2,"4 rum, 117 m²",2 900 000 kr,24 800 kr/m²,-9.4,2022-06-17
25,Lillängsvägen 27,"5 rum, 112 m²",4 100 000 kr,36 600 kr/m²,8,2022-06-17
26,Daggkåpevägen 13C,"5 rum, 164 m²",4 060 000 kr,24 800 kr/m²,4.8,2022-06-15
27,Skogsdalsvägen 12,"6 rum, 125 m²",3 005 000 kr,24 000 kr/m²,25.5,2022-06-15
28,Eriksdalsgatan 10,"None, 103 m²",3 000 000 kr,29 100 kr/m²,9.1,2022-06-15
29,Esbjörntorp Storegården 1,"None, 165 m²",2 800 000 kr,17 000 kr/m²,-06,2022-06-15
30,Lördagsvägen 4,"None, 132 m²",3 610 000 kr,27 300 kr/m²,-06,2022-06-14
31,Våmb Solhem,"4 rum, 106 m²",3 150 000 kr,29 700 kr/m²,5.5,2022-06-13
32,Lassagårdsgatan 43,"7 rum, 160 m²",5 450 000 kr,34 100 kr/m²,14.7,2022-06-12
33,Gamla Törebodavägen Forsa,"7 rum, 185 m²",2 675 000 kr,14 500 kr/m²,3.1,2022-06-10
34,Gudhemsgatan 11,"None, 196 m²",7 325 000 kr,37 400 kr/m²,22.1,2022-06-10
35,Bankälla Tomten 2,"4 rum, 101 m²",1 385 000 kr,13 700 kr/m²,0,2022-06-09
36,Lerdala Pankerud 4,"None, 82 m²",1 995 000 kr,24 300 kr/m²,0,2022-06-08
37,Sjogerstad Björkelund,"None, 125 m²",1 995 000 kr,16 000 kr/m²,0,2022-06-08
38,Sörgårdsvägen 45,"4 rum, 94 m²",615 000 kr,6 500 kr/m²,12.8,2022-06-07
39,Granhemsvägen 7,"None, 113 m²",3 750 000 kr,33 200 kr/m²,-06,2022-06-07
40,Lerdala Björkhult,"4 rum, 141 m²",3 350 000 kr,23 800 kr/m²,24.3,2022-06-05
41,Lavendelvägen 1,"7 rum, 245 m²",7 650 000 kr,31 200 kr/m²,0,2022-06-03
42,Rönnbärsvägen 25,"None, 126 m²",2 000 000 kr,15 900 kr/m²,11.4,2022-06-03
43,Klockarvägen 37,"None, 78 m²",3 230 000 kr,41 400 kr/m²,40.4,2022-06-03
44,Violvägen 2,"None, 150 m²",4 085 000 kr,27 200 kr/m²,2.3,2022-06-01
45,Måndagsvägen 7,"None, 106 m²",2 580 000 kr,24 300 kr/m²,43.3,2022-06-01
46,Orrvägen 16,"None, 149 m²",4 875 000 kr,32 700 kr/m²,-1.5,2022-06-01
47,Blomstervägen 6,"6 rum, 140 m²",5 250 000 kr,37 500 kr/m²,18,2022-05-31
48,Segerstorpsvägen 20,"None, 153 m²",3 800 000 kr,24 800 kr/m²,8.7,2022-05-31
49,Vråkvägen 3,"None, 146 m²",4 700 000 kr,32 200 kr/m²,0,2022-05-31
50,Gärdesvägen 5,"None, 122 m²",2 950 000 kr,24 200 kr/m²,-05,2022-05-31
51,Mårum Ekliden,"6 rum, 185 m²",3 400 000 kr,18 400 kr/m²,36,2022-05-30
52,Ringvägen 15,"None, 126 m²",2 100 000 kr,16 700 kr/m²,-4.3,2022-05-30
53,Fredriksbergsvägen 43,"5 rum, 107 m²",2 200 000 kr,20 600 kr/m²,12.8,2022-05-27
54,Skogsbovägen 9,"4 rum, 102 m²",3 080 000 kr,30 200 kr/m²,-6.7,2022-05-25
55,Höskullevägen 24,"None, 147 m²",5 100 000 kr,34 700 kr/m²,-3.7,2022-05-25
56,Fjällakvarn 1,"4 rum, 91 m²",1 250 000 kr,13 700 kr/m²,-15.8,2022-05-25
57,Talgoxevägen 15,"None, 237 m²",5 775 000 kr,24 400 kr/m²,-2.9,2022-05-24
58,Odenslunda Fridhem,"None, 48 m²",1 050 000 kr,21 900 kr/m²,17.3,2022-05-24
