,b_loc,b_price_kr,b_sale_rslt,b_sale_date,ant_rum,kvm_kr_m2,kv_m
0,Kärleksstigen 28,2500000,0.0,2022-07-15,6,15500,161
1,Hagagatan 7,1100000,-7.9,2022-07-14,4,9000,122
2,Uddabergsvägen 15,4680000,4.1,2022-07-13,4,39300,119
3,Lerdala Åbod gatan,1650000,-2.1,2022-07-12,2,22600,73
4,Rönnbärsvägen 21,2300000,4.8,2022-07-12,7,14000,164
5,Getaryggsvägen 24,7000000,7.8,2022-07-11,8,43200,162
6,Orkidévägen 8,3150000,14.5,2022-07-08,5,32100,98
7,Våmb Ekhyddan,1400000,-17.4,2022-07-08,5,8300,169
8,Sjogerstad Mariedal,2550000,-8.8,2022-07-08,4,22200,115
9,Lunne Äppelbo,1200000,20.6,2022-07-08,4,12100,99
10,Mariestadsvägen 1,2850000,0.0,2022-07-05,8,16800,170
11,Skolvägen 9,2100000,-12.3,2022-07-04,-1,16200,130
12,Slagugglevägen 21,4500000,7.1,2022-07-04,5,37500,120
13,Klagstorpsvägen 21,3200000,-3.0,2022-07-02,7,20600,155
14,Västerleden 13,2000000,-8.0,2022-07-01,6,19400,103
15,Kungsryd Lugnås 1,420000,-23.6,2022-07-01,3,6900,61
16,Jon Måns väg 12,3400000,-5.4,2022-06-30,8,27600,123
17,Stationsvägen 16A,2400000,-3.8,2022-06-30,5,19800,121
18,Källbäcksvägen 6,2395000,0.0,2022-06-28,3,33300,72
19,Stationsvägen 6,3100000,-5.9,2022-06-24,7,11900,260
20,Nybovägen 11,1250000,14.2,2022-06-23,5,11400,110
21,General Ericsons väg 3,3200000,-11.0,2022-06-23,4,34800,92
22,Källegårdsvägen 41,3200000,6.8,2022-06-21,5,33000,97
23,Svedjevägen 3,3300000,-5.6,2022-06-18,6,26400,125
24,Orkidévägen 2,2900000,-9.4,2022-06-17,4,24800,117
25,Lillängsvägen 27,4100000,8.0,2022-06-17,5,36600,112
26,Daggkåpevägen 13C,4060000,4.8,2022-06-15,5,24800,164
27,Skogsdalsvägen 12,3005000,25.5,2022-06-15,6,24000,125
28,Eriksdalsgatan 10,3000000,9.1,2022-06-15,-1,29100,103
29,Esbjörntorp Storegården 1,2800000,-6.0,2022-06-15,-1,17000,165
30,Lördagsvägen 4,3610000,-6.0,2022-06-14,-1,27300,132
31,Våmb Solhem,3150000,5.5,2022-06-13,4,29700,106
32,Lassagårdsgatan 43,5450000,14.7,2022-06-12,7,34100,160
33,Gamla Törebodavägen Forsa,2675000,3.1,2022-06-10,7,14500,185
34,Gudhemsgatan 11,7325000,22.1,2022-06-10,-1,37400,196
35,Bankälla Tomten 2,1385000,0.0,2022-06-09,4,13700,101
36,Lerdala Pankerud 4,1995000,0.0,2022-06-08,-1,24300,82
37,Sjogerstad Björkelund,1995000,0.0,2022-06-08,-1,16000,125
38,Sörgårdsvägen 45,615000,12.8,2022-06-07,4,6500,94
39,Granhemsvägen 7,3750000,-6.0,2022-06-07,-1,33200,113
40,Lerdala Björkhult,3350000,24.3,2022-06-05,4,23800,141
41,Lavendelvägen 1,7650000,0.0,2022-06-03,7,31200,245
42,Rönnbärsvägen 25,2000000,11.4,2022-06-03,-1,15900,126
43,Klockarvägen 37,3230000,40.4,2022-06-03,-1,41400,78
44,Violvägen 2,4085000,2.3,2022-06-01,-1,27200,150
45,Måndagsvägen 7,2580000,43.3,2022-06-01,-1,24300,106
46,Orrvägen 16,4875000,-1.5,2022-06-01,-1,32700,149
47,Blomstervägen 6,5250000,18.0,2022-05-31,6,37500,140
48,Segerstorpsvägen 20,3800000,8.7,2022-05-31,-1,24800,153
49,Vråkvägen 3,4700000,0.0,2022-05-31,-1,32200,146
50,Gärdesvägen 5,2950000,-5.0,2022-05-31,-1,24200,122
51,Mårum Ekliden,3400000,36.0,2022-05-30,6,18400,185
52,Ringvägen 15,2100000,-4.3,2022-05-30,-1,16700,126
53,Fredriksbergsvägen 43,2200000,12.8,2022-05-27,5,20600,107
54,Skogsbovägen 9,3080000,-6.7,2022-05-25,4,30200,102
55,Höskullevägen 24,5100000,-3.7,2022-05-25,-1,34700,147
56,Fjällakvarn 1,1250000,-15.8,2022-05-25,4,13700,91
57,Talgoxevägen 15,5775000,-2.9,2022-05-24,-1,24400,237
58,Odenslunda Fridhem,1050000,17.3,2022-05-24,-1,21900,48
59,Norrskensvägen 8,1300000,8.8,2022-05-23,4,12000,108
60,Morkullevägen 9,5200000,-3.6,2022-05-23,7,28600,182
61,Fornminnesvägen 2,2800000,-6.5,2022-05-23,-1,21500,130
62,Vallgatan 11,1350000,-15.4,2022-05-23,-1,8700,155
63,Nedergårdsvägen 19,4200000,-5.6,2022-05-20,6,31100,135
64,Skogshyddevägen 7,4620000,12.8,2022-05-19,6,50200,92
65,Hökugglevägen 9,4300000,-5.0,2022-05-18,-1,26900,160
66,Smaragdvägen 2,5900000,13.6,2022-05-16,-1,29900,197
67,Flugsnapparvägen 1,3850000,-5.0,2022-05-13,-1,18300,210
68,Getaryggsvägen 18,5800000,11.5,2022-05-12,5,40300,144
69,Torestorp Gategården,1450000,-5.0,2022-05-12,-1,13200,110
70,Sjogerstad Vidablick,2920000,-5.7,2022-05-09,4,26800,109
71,Knopstigen 2,3700000,-5.0,2022-05-06,-1,37000,100
72,Hyggesvägen 9,3500000,6.2,2022-05-05,-1,29900,117
73,Varola Axtorp 6,1400000,-5.0,2022-05-05,-1,8900,158
74,Forsby Lillegården 9,4150000,-5.0,2022-05-04,-1,22100,188
75,Mjölnarevägen 3,3095000,0.0,2022-05-03,7,15100,205
76,Orkidévägen 1B,5100000,13.5,2022-05-02,-1,31900,160
77,Claesborgsvägen 8,3700000,-5.0,2022-05-02,-1,33600,110
78,Tjädervägen 12,5645000,-5.0,2022-05-02,-1,32400,174
79,Lunnadalsvägen 5,4500000,-5.0,2022-05-02,-1,35400,127
80,Stubbvägen 2,3300000,-8.2,2022-04-30,-1,28700,115
81,Seglarstigen 3,750000,7.9,2022-04-29,-1,20800,36
