,b_loc,b_price_kr,b_price_m2_kr,b_sale_rslt,b_sale_date,amt_room,kvm_m2
0,Kärleksstigen 28,2500000,15500,0.0,2022-07-15,6,161
1,Hagagatan 7,1100000,9000,-7.9,2022-07-14,4,122
2,Uddabergsvägen 15,4680000,39300,4.1,2022-07-13,4,119
3,Lerdala Åbod gatan,1650000,22600,-2.1,2022-07-12,2,73
4,Rönnbärsvägen 21,2300000,14000,4.8,2022-07-12,7,164
5,Getaryggsvägen 24,7000000,43200,7.8,2022-07-11,8,162
6,Orkidévägen 8,3150000,32100,14.5,2022-07-08,5,98
7,Våmb Ekhyddan,1400000,8300,-17.4,2022-07-08,5,169
8,Sjogerstad Mariedal,2550000,22200,-8.8,2022-07-08,4,115
9,Lunne Äppelbo,1200000,12100,20.6,2022-07-08,4,99
10,Mariestadsvägen 1,2850000,16800,0.0,2022-07-05,8,170
11,Skolvägen 9,2100000,16200,-12.3,2022-07-04,-1,130
12,Slagugglevägen 21,4500000,37500,7.1,2022-07-04,5,120
13,Klagstorpsvägen 21,3200000,20600,-3.0,2022-07-02,7,155
14,Västerleden 13,2000000,19400,-8.0,2022-07-01,6,103
15,Kungsryd Lugnås 1,420000,6900,-23.6,2022-07-01,3,61
16,Jon Måns väg 12,3400000,27600,-5.4,2022-06-30,8,123
17,Stationsvägen 16A,2400000,19800,-3.8,2022-06-30,5,121
18,Källbäcksvägen 6,2395000,33300,0.0,2022-06-28,3,72
19,Stationsvägen 6,3100000,11900,-5.9,2022-06-24,7,260
20,Nybovägen 11,1250000,11400,14.2,2022-06-23,5,110
21,General Ericsons väg 3,3200000,34800,-11.0,2022-06-23,4,92
22,Källegårdsvägen 41,3200000,33000,6.8,2022-06-21,5,97
23,Svedjevägen 3,3300000,26400,-5.6,2022-06-18,6,125
24,Orkidévägen 2,2900000,24800,-9.4,2022-06-17,4,117
25,Lillängsvägen 27,4100000,36600,8.0,2022-06-17,5,112
26,Daggkåpevägen 13C,4060000,24800,4.8,2022-06-15,5,164
27,Skogsdalsvägen 12,3005000,24000,25.5,2022-06-15,6,125
28,Eriksdalsgatan 10,3000000,29100,9.1,2022-06-15,-1,103
29,Esbjörntorp Storegården 1,2800000,17000,-6.0,2022-06-15,-1,165
30,Lördagsvägen 4,3610000,27300,-6.0,2022-06-14,-1,132
31,Våmb Solhem,3150000,29700,5.5,2022-06-13,4,106
32,Lassagårdsgatan 43,5450000,34100,14.7,2022-06-12,7,160
33,Gamla Törebodavägen Forsa,2675000,14500,3.1,2022-06-10,7,185
34,Gudhemsgatan 11,7325000,37400,22.1,2022-06-10,-1,196
35,Bankälla Tomten 2,1385000,13700,0.0,2022-06-09,4,101
36,Lerdala Pankerud 4,1995000,24300,0.0,2022-06-08,-1,82
37,Sjogerstad Björkelund,1995000,16000,0.0,2022-06-08,-1,125
38,Sörgårdsvägen 45,615000,6500,12.8,2022-06-07,4,94
39,Granhemsvägen 7,3750000,33200,-6.0,2022-06-07,-1,113
40,Lerdala Björkhult,3350000,23800,24.3,2022-06-05,4,141
41,Lavendelvägen 1,7650000,31200,0.0,2022-06-03,7,245
42,Rönnbärsvägen 25,2000000,15900,11.4,2022-06-03,-1,126
43,Klockarvägen 37,3230000,41400,40.4,2022-06-03,-1,78
44,Violvägen 2,4085000,27200,2.3,2022-06-01,-1,150
45,Måndagsvägen 7,2580000,24300,43.3,2022-06-01,-1,106
46,Orrvägen 16,4875000,32700,-1.5,2022-06-01,-1,149
47,Blomstervägen 6,5250000,37500,18.0,2022-05-31,6,140
48,Segerstorpsvägen 20,3800000,24800,8.7,2022-05-31,-1,153
49,Vråkvägen 3,4700000,32200,0.0,2022-05-31,-1,146
50,Gärdesvägen 5,2950000,24200,-5.0,2022-05-31,-1,122
51,Mårum Ekliden,3400000,18400,36.0,2022-05-30,6,185
52,Ringvägen 15,2100000,16700,-4.3,2022-05-30,-1,126
53,Fredriksbergsvägen 43,2200000,20600,12.8,2022-05-27,5,107
54,Skogsbovägen 9,3080000,30200,-6.7,2022-05-25,4,102
55,Höskullevägen 24,5100000,34700,-3.7,2022-05-25,-1,147
56,Fjällakvarn 1,1250000,13700,-15.8,2022-05-25,4,91
57,Talgoxevägen 15,5775000,24400,-2.9,2022-05-24,-1,237
58,Odenslunda Fridhem,1050000,21900,17.3,2022-05-24,-1,48
59,Norrskensvägen 8,1300000,12000,8.8,2022-05-23,4,108
60,Morkullevägen 9,5200000,28600,-3.6,2022-05-23,7,182
61,Fornminnesvägen 2,2800000,21500,-6.5,2022-05-23,-1,130
62,Vallgatan 11,1350000,8700,-15.4,2022-05-23,-1,155
63,Nedergårdsvägen 19,4200000,31100,-5.6,2022-05-20,6,135
64,Skogshyddevägen 7,4620000,50200,12.8,2022-05-19,6,92
65,Hökugglevägen 9,4300000,26900,-5.0,2022-05-18,-1,160
66,Smaragdvägen 2,5900000,29900,13.6,2022-05-16,-1,197
67,Flugsnapparvägen 1,3850000,18300,-5.0,2022-05-13,-1,210
68,Getaryggsvägen 18,5800000,40300,11.5,2022-05-12,5,144
69,Torestorp Gategården,1450000,13200,-5.0,2022-05-12,-1,110
70,Sjogerstad Vidablick,2920000,26800,-5.7,2022-05-09,4,109
71,Knopstigen 2,3700000,37000,-5.0,2022-05-06,-1,100
72,Hyggesvägen 9,3500000,29900,6.2,2022-05-05,-1,117
73,Varola Axtorp 6,1400000,8900,-5.0,2022-05-05,-1,158
74,Forsby Lillegården 9,4150000,22100,-5.0,2022-05-04,-1,188
75,Mjölnarevägen 3,3095000,15100,0.0,2022-05-03,7,205
76,Orkidévägen 1B,5100000,31900,13.5,2022-05-02,-1,160
77,Claesborgsvägen 8,3700000,33600,-5.0,2022-05-02,-1,110
78,Tjädervägen 12,5645000,32400,-5.0,2022-05-02,-1,174
79,Lunnadalsvägen 5,4500000,35400,-5.0,2022-05-02,-1,127
80,Stubbvägen 2,3300000,28700,-8.2,2022-04-30,-1,115
81,Seglarstigen 3,750000,20800,7.9,2022-04-29,-1,36
82,Guldvägen 2,4000000,40400,-4.0,2022-04-26,4,99
83,Folkungagatan 28,3400000,28800,-2.9,2022-04-25,4,118
84,Alvägen 3,2900000,24200,16.7,2022-04-25,-1,120
85,Norrgatan 1,3695000,23500,0.0,2022-04-24,6,157
86,Kaplansgatan 6,4300000,23900,-3.9,2022-04-20,6,180
87,Sveagatan 17,5425000,41400,10.8,2022-04-14,5,131
88,Åkleby Annehill 1,2550000,27700,16.7,2022-04-14,4,92
89,Galoppvägen 10,3550000,24800,1.6,2022-04-14,-1,143
90,Tallstigen 7,1260000,13300,-23.6,2022-04-13,-1,95
91,Granängsvägen 23,2900000,23000,-4.0,2022-04-13,-1,126
92,Karl Magnussons väg 26,7100000,34600,5.3,2022-04-08,-1,205
93,Stjärnvägen 13,3800000,25900,-13.3,2022-04-07,5,147
94,Högklintsvägen 5,5990000,34400,0.7,2022-04-06,-1,174
95,Solhagavägen 2,3275000,33800,-4.0,2022-04-06,-1,97
96,Gamla Törebodavägen Espelund,5150000,39600,-4.0,2022-04-05,-1,130
97,Djursätra Solsäter,1495000,10300,7.2,2022-04-04,-1,145
98,Varola Missionskyrkan,1500000,7500,-4.0,2022-04-04,-1,200
99,Gröna vägen 21,4750000,38300,10.5,2022-04-01,5,124
100,Gärdesvägen 5,2950000,26300,18.2,2022-04-01,6,112
101,Rödegårdsvägen 20,4350000,23400,10.8,2022-04-01,-1,186
102,Högklintsvägen 9,7650000,31900,-1.7,2022-04-01,-1,240
103,Flugsnapparvägen 5,3000000,18600,-4.0,2022-04-01,-1,161
104,Torpemad Jennetorp,250000,2900,-4.0,2022-04-01,-1,85
105,Tåstorp Västergården,2200000,14700,-4.0,2022-04-01,-1,150
106,Binneberg Missionshuset,2000000,13900,-4.0,2022-04-01,-1,144
107,Duvstigen 3,4050000,31600,8.0,2022-03-31,5,128
108,Kamomillvägen 12,4450000,29300,-3.0,2022-03-31,5,152
109,Robin Granes väg 10,4300000,36800,13.3,2022-03-30,-1,117
110,Forsby Nylund,3625000,31300,-3.0,2022-03-29,5,116
111,Kärleksstigen 17,2350000,14000,-10.5,2022-03-29,-1,168
112,Smedjevägen 10,4100000,34700,-3.0,2022-03-28,5,118
113,Säter Prästängen 1,1820000,42300,30.5,2022-03-28,2,43
114,Ringstigen 2,3550000,42300,9.2,2022-03-24,5,84
115,Kärleksstigen 9,3360000,20700,16.1,2022-03-23,-1,162
116,Nässelvägen 3,4700000,24500,-3.0,2022-03-23,-1,192
117,Kryddvägen 1,6100000,36700,10.9,2022-03-19,6,166
118,Vadsbovägen 10,1850000,17300,9.5,2022-03-18,-1,107
